citekey,domain,grader,fig,pass_pct,score
@starchReliabilityGradingWork1913a,math,teacher,1,70,25
@starchReliabilityGradingWork1913a,math,teacher,1,70,45
@starchReliabilityGradingWork1913a,math,teacher,1,70,50
@starchReliabilityGradingWork1913a,math,teacher,1,70,50
@starchReliabilityGradingWork1913a,math,teacher,1,70,50
@starchReliabilityGradingWork1913a,math,teacher,1,70,50
@starchReliabilityGradingWork1913a,math,teacher,1,70,50
@starchReliabilityGradingWork1913a,math,teacher,1,70,53
@starchReliabilityGradingWork1913a,math,teacher,1,70,55
@starchReliabilityGradingWork1913a,math,teacher,1,70,57
@starchReliabilityGradingWork1913a,math,teacher,1,70,59
@starchReliabilityGradingWork1913a,math,teacher,1,70,60
@starchReliabilityGradingWork1913a,math,teacher,1,70,61
@starchReliabilityGradingWork1913a,math,teacher,1,70,61
@starchReliabilityGradingWork1913a,math,teacher,1,70,63
@starchReliabilityGradingWork1913a,math,teacher,1,70,63
@starchReliabilityGradingWork1913a,math,teacher,1,70,65
@starchReliabilityGradingWork1913a,math,teacher,1,70,65
@starchReliabilityGradingWork1913a,math,teacher,1,70,65
@starchReliabilityGradingWork1913a,math,teacher,1,70,66
@starchReliabilityGradingWork1913a,math,teacher,1,70,67
@starchReliabilityGradingWork1913a,math,teacher,1,70,68
@starchReliabilityGradingWork1913a,math,teacher,1,70,70
@starchReliabilityGradingWork1913a,math,teacher,1,70,70
@starchReliabilityGradingWork1913a,math,teacher,1,70,70
@starchReliabilityGradingWork1913a,math,teacher,1,70,70
@starchReliabilityGradingWork1913a,math,teacher,1,70,70
@starchReliabilityGradingWork1913a,math,teacher,1,70,71
@starchReliabilityGradingWork1913a,math,teacher,1,70,72
@starchReliabilityGradingWork1913a,math,teacher,1,70,73
@starchReliabilityGradingWork1913a,math,teacher,1,70,73
@starchReliabilityGradingWork1913a,math,teacher,1,70,74
@starchReliabilityGradingWork1913a,math,teacher,1,70,75
@starchReliabilityGradingWork1913a,math,teacher,1,70,75
@starchReliabilityGradingWork1913a,math,teacher,1,70,75
@starchReliabilityGradingWork1913a,math,teacher,1,70,77
@starchReliabilityGradingWork1913a,math,teacher,1,70,78
@starchReliabilityGradingWork1913a,math,teacher,1,70,80
@starchReliabilityGradingWork1913a,math,teacher,1,70,82
@starchReliabilityGradingWork1913a,math,teacher,1,70,83
@starchReliabilityGradingWork1913a,math,teacher,1,70,89
@starchReliabilityGradingWork1913a,math,teacher,1,70,89
@starchReliabilityGradingWork1913a,math,teacher,2,75,39
@starchReliabilityGradingWork1913a,math,teacher,2,75,41
@starchReliabilityGradingWork1913a,math,teacher,2,75,44
@starchReliabilityGradingWork1913a,math,teacher,2,75,50
@starchReliabilityGradingWork1913a,math,teacher,2,75,55
@starchReliabilityGradingWork1913a,math,teacher,2,75,56
@starchReliabilityGradingWork1913a,math,teacher,2,75,57
@starchReliabilityGradingWork1913a,math,teacher,2,75,59
@starchReliabilityGradingWork1913a,math,teacher,2,75,59
@starchReliabilityGradingWork1913a,math,teacher,2,75,59
@starchReliabilityGradingWork1913a,math,teacher,2,75,60
@starchReliabilityGradingWork1913a,math,teacher,2,75,60
@starchReliabilityGradingWork1913a,math,teacher,2,75,60
@starchReliabilityGradingWork1913a,math,teacher,2,75,61
@starchReliabilityGradingWork1913a,math,teacher,2,75,61
@starchReliabilityGradingWork1913a,math,teacher,2,75,61
@starchReliabilityGradingWork1913a,math,teacher,2,75,61
@starchReliabilityGradingWork1913a,math,teacher,2,75,62
@starchReliabilityGradingWork1913a,math,teacher,2,75,63
@starchReliabilityGradingWork1913a,math,teacher,2,75,64
@starchReliabilityGradingWork1913a,math,teacher,2,75,64
@starchReliabilityGradingWork1913a,math,teacher,2,75,64
@starchReliabilityGradingWork1913a,math,teacher,2,75,64
@starchReliabilityGradingWork1913a,math,teacher,2,75,65
@starchReliabilityGradingWork1913a,math,teacher,2,75,65
@starchReliabilityGradingWork1913a,math,teacher,2,75,65
@starchReliabilityGradingWork1913a,math,teacher,2,75,65
@starchReliabilityGradingWork1913a,math,teacher,2,75,65
@starchReliabilityGradingWork1913a,math,teacher,2,75,65
@starchReliabilityGradingWork1913a,math,teacher,2,75,66
@starchReliabilityGradingWork1913a,math,teacher,2,75,67
@starchReliabilityGradingWork1913a,math,teacher,2,75,67
@starchReliabilityGradingWork1913a,math,teacher,2,75,67
@starchReliabilityGradingWork1913a,math,teacher,2,75,68
@starchReliabilityGradingWork1913a,math,teacher,2,75,69
@starchReliabilityGradingWork1913a,math,teacher,2,75,69
@starchReliabilityGradingWork1913a,math,teacher,2,75,70
@starchReliabilityGradingWork1913a,math,teacher,2,75,70
@starchReliabilityGradingWork1913a,math,teacher,2,75,72
@starchReliabilityGradingWork1913a,math,teacher,2,75,74
@starchReliabilityGradingWork1913a,math,teacher,2,75,74
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,75
@starchReliabilityGradingWork1913a,math,teacher,2,75,76
@starchReliabilityGradingWork1913a,math,teacher,2,75,77
@starchReliabilityGradingWork1913a,math,teacher,2,75,78
@starchReliabilityGradingWork1913a,math,teacher,2,75,78
@starchReliabilityGradingWork1913a,math,teacher,2,75,78
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,79
@starchReliabilityGradingWork1913a,math,teacher,2,75,80
@starchReliabilityGradingWork1913a,math,teacher,2,75,80
@starchReliabilityGradingWork1913a,math,teacher,2,75,81
@starchReliabilityGradingWork1913a,math,teacher,2,75,81
@starchReliabilityGradingWork1913a,math,teacher,2,75,83
@starchReliabilityGradingWork1913a,math,teacher,2,75,83
@starchReliabilityGradingWork1913a,math,teacher,2,75,84
@starchReliabilityGradingWork1913a,math,teacher,2,75,84
@starchReliabilityGradingWork1913a,math,teacher,2,75,85
@starchReliabilityGradingWork1913a,math,teacher,2,75,86
@starchReliabilityGradingWork1913a,math,teacher,2,75,86
@starchReliabilityGradingWork1913a,math,teacher,2,75,87
@starchReliabilityGradingWork1913a,math,teacher,2,75,88





































